#,AÃ±o,M,D,H,M.1,S,Err.,L,Latitud,Err..1,Longitud,Err..2,Prof.,Err..3,NST,RMS,GAP,ML,Agen.
121,2022,4,6,14,58,16.4,0.35,L,-54.822,3.4,-69.176,3.5,13.0,2.5,4,0.1,225,2.1,EAR
122,2022,4,20,11,6,25.6,1.81,R,-57.385,20.6,-50.986,37.1,1.1,15.5,4,1.1,318,4.1,EAR
123,2022,4,29,5,51,59.9,1.67,R,-56.787,24.6,-69.879,32.2,12.4,10.3,5,0.7,312,3.1,EAR
124,2022,5,2,8,23,26.3,0.31,L,-54.508,6.9,-69.714,3.8,9.5,4.6,4,0.0,216,2.1,EAR
125,2022,5,6,18,1,59.9,0.77,R,-57.245,5.3,-67.112,18.6,4.1,3.5,5,0.3,282,3.0,EAR
126,2022,5,13,3,50,8.8,0.35,L,-54.695,2.1,-67.07,8.2,0.0,1.7,4,0.0,278,2.4,EAR
127,2022,5,20,20,30,55.1,0.34,L,-54.796,1.9,-67.477,4.6,10.9,7.6,3,0.0,179,0.9,EAR
128,2022,5,29,19,12,32.5,0.3,L,-54.695,4.1,-69.211,6.2,20.0,0.0,1,0.0,360,2.5,EAR
129,2022,6,23,17,13,7.6,1.2,R,-57.463,7.4,-66.509,28.4,15.8,7.4,5,0.5,181,3.5,EAR
130,2022,6,28,6,26,37.2,2.8,R,-52.612,32.1,-72.233,69.2,20.0,18.1,7,1.1,223,3.0,EAR
131,2022,6,28,6,33,21.7,1.94,R,-52.712,20,-72.35,43.1,20.6,16.2,7,0.8,229,3.2,EAR
132,2022,6,29,7,38,0.1,0.74,L,-54.535,3.4,-69.269,12.7,10.4,7.7,4,0.3,248,2.3,EAR
133,2022,6,29,11,57,15.2,0.6,L,-54.531,7.7,-69.641,4.0,6.1,7.6,4,0.2,227,2.1,EAR
134,2022,7,4,11,1,39.5,1.15,R,-53.734,9.8,-63.953,12.7,8.0,6.8,7,0.5,177,3.4,EAR
135,2022,7,4,11,25,29.0,1.0,R,-52.337,7.3,-72.554,22.2,13.6,9.1,5,0.4,243,3.2,EAR
136,2022,7,8,6,2,1.2,0.85,L,-54.608,3.9,-69.475,8.0,3.6,7.2,4,0.3,258,2.3,EAR
137,2022,7,11,12,53,43.8,0.56,L,-54.518,8.4,-69.645,3.8,8.2,7.5,3,0.2,226,2.1,EAR
138,2022,7,13,13,3,11.1,0.31,R,-54.581,1.5,-69.518,1.7,1.5,2.1,3,0.0,227,2.7,EAR
139,2022,7,17,12,23,3.6,0.64,R,-59.94,8.5,-57.415,9.9,115.0,94.4,6,0.2,308,3.9,EAR
140,2022,7,20,7,11,18.4,0.34,L,-54.626,4.2,-66.374,4.9,14.3,3.1,3,0.1,307,2.9,EAR
141,2022,7,22,18,51,40.5,1.28,R,-57.977,88.7,-63.805,31.4,0.0,48.8,4,0.6,285,3.6,EAR
142,2022,7,22,22,51,42.0,0.52,L,-54.62,2.4,-69.47,2.8,1.6,2.9,4,0.2,229,2.6,EAR
143,2022,7,22,22,53,12.1,1.17,L,-54.566,17,-69.466,9.1,8.3,16.6,3,0.5,224,2.7,EAR
144,2022,8,1,20,21,22.0,0.78,L,-54.516,7.5,-69.639,4.3,10.0,7.4,3,0.3,226,2.3,EAR
145,2022,8,4,10,31,1.1,0.32,L,-54.564,3.1,-69.522,2.0,11.6,2.6,4,0.1,226,2.1,EAR
146,2022,8,5,7,42,35.9,0.61,L,-54.48,7.8,-69.56,3.9,6.1,7.8,4,0.2,220,2.1,EAR
147,2022,8,5,18,20,53.5,0.39,L,-54.656,3.3,-66.837,6.5,15.7,2.5,3,0.1,290,1.5,EAR
148,2022,8,7,15,7,58.2,0.32,L,-53.367,4,-66.869,7.6,18.6,6.5,4,0.1,260,2.0,EAR
149,2022,8,7,18,43,15.0,0.39,L,-54.455,2.7,-69.614,3.1,5.2,3.9,3,0.1,220,1.8,EAR
150,2022,8,8,10,24,36.5,0.78,L,-52.737,14.5,-66.701,28.5,32.1,18.5,3,0.3,283,2.2,EAR
151,2022,8,9,18,15,47.0,0.34,R,-54.859,8.2,-69.643,7.9,16.7,7.5,3,0.0,251,2.3,EAR
152,2022,8,13,6,7,31.4,0.31,R,-54.917,6.5,-69.645,4.0,29.2,7.1,3,0.0,255,2.4,EAR
153,2022,8,18,3,45,19.5,0.87,R,-54.325,4.9,-54.445,16.4,7.1,5.9,7,0.4,301,4.1,EAR
154,2022,8,22,20,35,12.2,1.39,R,-58.231,20.8,-61.649,25.8,0.7,6.5,5,0.7,289,3.6,EAR
155,2022,8,23,0,35,18.1,0.82,R,-52.424,6.6,-72.721,15.5,4.5,3.6,7,0.3,240,4.2,EAR
156,2022,8,23,5,4,43.1,2.36,R,-52.442,12.4,-71.744,24.0,20.7,12.1,9,1.0,163,3.4,EAR
157,2022,8,24,17,53,41.9,1.7,R,-52.4,11.3,-71.538,36.9,14.5,19.9,7,0.7,138,3.2,EAR
158,2022,8,24,20,27,26.2,1.81,R,-52.482,15.6,-71.857,36.8,18.5,15.1,7,0.7,179,2.9,EAR
159,2022,8,30,14,32,14.9,2.34,R,-52.369,7.7,-71.513,19.7,11.2,13.2,9,0.9,134,3.8,EAR
160,2022,8,30,14,41,34.5,3.99,L,-54.398,35.5,-69.021,80.9,5.8,124.1,2,0.7,298,2.0,EAR
161,2022,8,31,22,29,21.4,0.76,L,-54.709,6.2,-69.988,33.2,24.4,12.3,4,0.3,274,2.5,EAR
162,2022,9,5,20,20,46.7,1.05,L,-52.687,4.9,-71.002,7.9,0.0,5.7,6,0.4,138,3.1,EAR
163,2022,9,6,3,13,22.7,1.37,L,-54.362,9.8,-65.588,18.6,0.0,8.5,5,0.5,299,2.7,EAR
164,2022,9,9,20,57,14.1,1.6,R,-52.303,6.4,-71.315,15.9,6.8,7.6,8,0.6,152,3.3,EAR
165,2022,9,23,17,45,17.2,0.83,R,-54.095,18,-63.325,11.3,28.0,5.6,4,0.3,339,3.0,EAR
166,2022,9,25,13,16,34.5,0.99,R,-53.581,4.6,-56.513,21.2,32.0,6.6,5,0.5,283,3.5,EAR
167,2022,10,2,21,45,58.7,2.06,R,-56.687,114.4,-54.109,64.8,5.0,12.5,8,1.3,347,3.7,EAR
168,2022,10,19,5,54,41.6,6.58,L,-52.394,40.4,-71.845,91.2,0.0,28.1,6,2.7,170,3.2,EAR
169,2022,11,8,7,34,26.6,0.79,R,-57.748,42.6,-66.891,27.4,0.0,31.5,5,0.3,287,3.1,EAR
170,2022,11,14,9,48,44.4,0.89,L,-54.83,9.1,-69.776,7.6,32.1,5.4,3,0.3,253,2.2,EAR
171,2022,11,14,16,50,58.0,0.73,R,-56.559,11.4,-69.964,14.6,11.0,4.5,3,0.3,314,2.6,EAR
172,2022,11,16,15,18,38.3,0.55,R,-57.283,31.2,-65.779,14.5,13.5,30.3,4,0.2,278,3.0,EAR
173,2022,12,20,19,42,57.0,0.38,L,-54.5,4.6,-69.598,3.2,28.9,4.9,4,0.1,223,2.4,EAR
174,2023,1,6,5,9,43.4,0.31,L,-54.937,2.7,-68.2,3.5,10.1,5.2,3,0.0,246,2.4,EAR
175,2023,1,7,10,36,30.9,1.32,R,-52.365,4.8,-71.51,11.7,9.1,5.2,8,0.5,134,3.5,EAR
176,2023,1,12,3,0,14.0,0.52,R,-57.214,3.3,-67.369,12.0,0.0,2.2,5,0.2,283,2.7,EAR
177,2023,1,14,4,3,43.4,0.98,R,-56.995,39.5,-67.348,27.0,0.0,30.2,5,0.4,280,2.7,EAR
178,2023,1,18,18,32,45.7,0.88,R,-52.589,7.7,-66.455,10.4,27.7,12.5,4,0.4,203,2.6,EAR
179,2023,1,31,7,17,52.4,0.31,L,-54.654,2.4,-67.333,0.6,11.2,2.1,2,0.0,337,1.4,EAR
180,2023,2,11,13,42,17.8,3.2,R,-54.656,24.2,-69.778,26.3,20.8,16.2,4,1.3,230,2.5,EAR
181,2023,2,13,4,19,60.0,0.42,R,-54.141,5.3,-64.552,73.1,2.2,29.4,4,0.1,311,2.6,EAR
182,2023,2,20,11,20,38.4,0.95,R,-57.353,7.2,-66.579,44.3,31.8,5.2,5,0.4,336,3.2,EAR
183,2023,2,20,14,27,44.3,0.81,R,-55.027,10.3,-71.116,17.4,12.0F,0.0,3,0.4,330,,
184,2023,3,29,11,49,34.1,0.66,L,-54.585,3.7,-67.285,2.5,16.2,3.4,3,0.1,232,2.0,EAR
185,2023,4,2,11,54,50.3,0.68,L,-53.743,3.1,-66.822,3.5,21.0,4.4,7,0.3,147,3.9,EAR
186,2023,4,16,0,6,52.6,2.13,L,-53.792,14.1,-70.771,19.5,7.0,7.2,9,0.8,210,3.8,EAR
187,2023,5,9,12,1,1.2,0.38,L,-54.603,11.1,-68.076,18.3,6.1,16.0,3,0.1,174,2.0,EAR
188,2023,5,10,18,40,11.4,2.23,L,-54.647,14.7,-68.354,31.1,11.4F,0.0,3,1.1,271,2.3,EAR
189,2023,5,11,22,39,39.0,1.64,R,-53.753,29.9,-63.03,26.7,18.5,11.7,5,0.7,191,3.2,EAR
190,2023,5,20,7,34,10.0,0.39,R,-57.01,3.5,-69.074,19.0,0.4,1.9,3,0.1,345,4.5,EAR
191,2023,5,20,8,4,49.5,0.36,R,-56.966,4.5,-68.463,30.5,25.7,5.4,3,0.1,346,3.5,EAR
192,2023,5,20,9,17,30.9,0.51,R,-56.866,5.1,-68.365,18.2,28.6,4.0,3,0.2,346,3.4,EAR
193,2023,5,20,10,13,5.5,0.85,R,-56.764,7.1,-68.928,27.6,9.4,6.7,3,0.3,344,2.9,EAR
194,2023,5,20,10,31,14.4,0.36,R,-56.854,2.8,-68.351,11.7,23.1,2.6,3,0.1,346,2.9,EAR
195,2023,5,21,1,51,5.8,0.63,R,-57.135,5.1,-69.104,28.7,0.0,2.7,3,0.2,346,3.4,EAR
196,2023,5,21,20,37,30.2,0.81,R,-56.853,13.9,-69.181,61.2,2.7,9.0,3,0.3,344,3.1,EAR
197,2023,5,30,4,35,2.6,0.89,R,-56.891,8.1,-69.519,21.5,13.0,6.0,5,0.4,314,4.3,EAR
198,2023,5,30,11,30,4.5,1.71,R,-57.485,13.5,-67.027,95.8,32.8,58.2,7,0.8,336,3.1,EAR
199,2023,6,12,21,19,8.6,0.31,R,-54.846,10.7,-69.807,9.2,15.1,6.8,3,0.0,264,2.8,EAR
200,2023,6,13,11,0,1.5,0.79,R,-54.522,8.1,-69.277,7.3,5.2,6.0,3,0.3,222,2.5,EAR
201,2023,6,13,11,29,46.2,1.07,R,-54.616,40.6,-69.314,9.0,19.5,21.4,4,0.4,233,2.3,EAR
202,2023,6,24,9,27,8.9,0.45,R,-56.849,10.2,-68.556,33.7,12.3,3.5,3,0.1,345,2.7,EAR
203,2023,6,25,13,54,12.9,0.34,R,-54.569,2.7,-68.272,0.2,13.9,4.3,2,0.0,180,1.7,EAR
204,2023,7,30,1,10,38.6,2.61,R,-55.03,38.8,-60.853,25.4,25.2,18.9,6,1.2,241,4.6,EAR
205,2023,7,30,17,2,35.2,2.53,R,-53.327,46.2,-62.269,42.0,0.8,23.7,5,1.2,182,3.8,EAR
206,2023,8,4,12,41,53.6,0.52,L,-54.367,4.8,-67.423,10.0,57.0,6.5,3,0.2,222,2.2,EAR
207,2023,8,10,6,45,34.3,0.68,R,-54.666,3.5,-69.306,14.6,7.7,4.1,3,0.3,295,2.3,EAR
208,2023,8,30,5,51,9.9,1.4,L,-54.738,6.6,-69.265,13.0,6.4,15.9,5,0.5,259,2.3,EAR
209,2023,9,7,23,37,31.0,1.01,R,-52.585,11.8,-72.7,34.3,10.0,7.2,7,0.4,239,3.1,EAR
210,2023,9,10,7,55,57.1,3.26,R,-54.728,14.6,-69.537,28.0,5.8,18.4,5,1.3,265,2.2,EAR
211,2023,9,11,11,3,40.5,0.44,R,-54.726,3.4,-69.362,5.6,9.5,4.1,5,0.1,261,2.3,EAR
212,2023,9,14,19,51,58.2,0.45,L,-54.428,3.4,-69.554,3.9,3.0,2.0,6,0.1,202,2.4,EAR
213,2023,10,16,9,32,30.0,0.29,L,-54.658,0.8,-67.223,4.9,13.5,1.5,3,0.0,262,2.4,EAR
214,2023,10,30,21,1,44.1,0.51,R,-50.758,5.6,-74.402,9.9,10.8,2.3,6,0.2,317,3.7,EAR
215,2023,11,26,12,21,46.9,1.13,R,-53.452,17,-62.805,15.0,3.1,5.4,5,0.5,323,3.5,EAR
216,2023,11,26,14,36,51.9,1.04,R,-54.151,16.9,-61.172,374.2,12.9,201.7,5,0.5,333,3.4,EAR
217,2023,11,27,6,40,22.9,0.57,R,-53.495,10.3,-68.641,4.1,3.4,4.6,3,0.2,257,2.2,EAR
218,2024,1,13,16,28,58.9,1.28,R,-54.736,19.8,-58.424,17.1,4.8,6.8,7,0.6,263,3.7,EAR
219,2024,2,7,1,41,59.6,1.11,L,-54.616,5.4,-69.053,13.3,7.2,12.9,4,0.4,218,2.3,EAR
220,2024,2,27,6,23,60.0,1.05,L,-56.027,14.2,-71.073,9.8,20.0,8.1,7,0.5,289,2.8,EAR
221,2024,3,11,13,6,53.2,1.89,L,-53.739,15.3,-71.785,22.8,13.7,10.0,5,0.8,257,2.8,EAR
222,2024,3,14,13,13,7.0,0.51,L,-52.97,7.2,-72.875,27.1,5.0,11.6,6,0.2,320,3.3,EAR
223,2024,3,26,2,16,57.2,0.34,L,-57.331,5.4,-68.388,15.4,11.9,2.8,3,0.1,328,2.8,EAR
224,2024,4,9,11,26,59.2,0.45,L,-53.929,14.6,-71.009,23.4,20.4,7.6,5,0.1,232,2.8,EAR
225,2024,4,14,3,39,46.7,0.38,R,-54.562,2,-67.144,12.1,12.4,3.1,4,0.1,265,2.3,EAR
226,2024,4,14,16,44,2.3,1.23,R,-54.054,8.8,-70.857,13.1,5.9,4.8,5,0.5,232,2.6,EAR
227,2024,4,18,13,15,33.7,0.94,R,-54.297,17.3,-63.533,13.4,13.7,5.7,4,0.4,335,2.8,EAR
228,2024,4,19,10,48,23.1,0.46,R,-56.628,11,-69.189,27.1,11.5,3.6,3,0.2,343,3.1,EAR
229,2024,4,20,9,24,12.7,0.84,R,-56.941,8,-68.259,34.1,22.0,8.0,2,0.2,347,3.1,EAR
230,2024,5,12,15,39,12.2,0.4,R,-54.351,7.5,-64.894,11.5,14.1,3.7,5,0.1,309,2.8,EAR
231,2024,5,15,14,56,13.7,0.85,R,-57.63,39,-67.318,27.7,30.5,39.1,6,0.4,288,3.9,EAR
232,2024,5,29,13,23,44.4,1.37,R,-50.278,18.5,-71.917,53.0,0.0,12.6,4,0.6,332,3.5,EAR
233,2024,6,16,20,19,28.8,0.88,R,-57.636,6.5,-66.523,13.7,5.0,4.6,5,0.4,285,3.2,EAR
234,2024,6,19,18,10,47.2,0.34,R,-55.582,20.2,-70.191,19.2,22.2,16.6,3,0.0,293,2.4,EAR
235,2024,6,24,12,24,44.1,0.3,L,-54.661,4.2,-67.648,5.0,10.0F,0.0,3,0.1,236,1.9,EAR
236,2024,6,29,8,25,18.1,0.96,L,-54.524,3.4,-67.246,19.8,10.0F,0.0,3,0.5,234,2.2,EAR
237,2024,8,21,2,13,14.6,0.42,R,-53.687,9.2,-73.84,81.0,31.5,42.9,5,0.1,312,3.2,EAR
238,2024,8,23,5,53,0.5,1.53,R,-53.793,67.6,-59.306,35.3,32.3,74.0,5,0.7,338,3.4,EAR
239,2024,9,15,7,51,53.1,0.93,R,-52.263,17.4,-72.09,70.2,13.4,6.1,4,0.4,209,3.2,EAR
240,2024,11,6,13,32,18.2,1.23,L,-54.603,1.1,-67.563,1.8,6.0,3.6,4,0.1,154,2.2,EAR
